iteration,value,g_norm,p
0,3.247268105613559,1.316863658773583,"[0.0, 0.0, 0.0, 0.0]"
1,2.250700084635123,1.129505172104761,"[0.4842876417469257, -0.24132510838427212, 0.3582389007788511, 0.3480237880613532]"
2,0.4338567098372653,0.26259593013868787,"[2.22747120887449, -0.169410481464643, 1.276972272151148, 1.545660915680195]"
3,0.3555135267136709,0.08486182065670267,"[2.0937321907642366, 0.020497206661363777, 1.1509270156582756, 1.4164356531561964]"
4,0.2288076072715647,0.06713093967746635,"[2.0998976740414976, 0.3212096155893718, 1.1503651940524902, 1.4504189751799526]"
5,0.19883693686357978,0.10759036903926385,"[1.7603399746503634, 1.736762246573932, 1.4306305079492636, 1.8356362643042234]"
6,0.06272539061500128,0.036144561305104794,"[1.9909671702023997, 1.0987656715095422, 1.2427705838150322, 1.572441869069756]"
7,0.060276732681164936,0.012044327635958824,"[1.9570365740744102, 1.0955512685390105, 1.2773053070225266, 1.5934748439794033]"
8,0.05848470627782993,0.003858834022926897,"[1.9360220721261767, 1.115208485042522, 1.3051827916728849, 1.602207300202045]"
9,0.057410006220411314,0.003710152130014504,"[1.9387645811443293, 1.1125651180513982, 1.3103345156079986, 1.5949148973748701]"
10,0.049170631385815664,0.004656276757170512,"[1.9484091930852794, 1.0982603246606824, 1.3642274347238912, 1.5420667867278113]"
11,0.03168557645089834,0.007664050468304445,"[1.9610461541933892, 1.0714825196856377, 1.5071839963809448, 1.4168306272278657]"
12,0.007983711943691142,0.002145814310521335,"[1.983431715816301, 1.0072712018386063, 1.8591734489214893, 1.1233378547705033]"
13,0.006304449802713647,0.0012568379756833599,"[1.9859970112003154, 1.0212216709728545, 1.939322093300876, 1.0640796634024878]"
14,0.005940687144886811,0.002219798874407098,"[1.989088172699249, 1.0178876043662604, 1.9909679880594837, 1.0220981911647389]"
15,0.005882636810080443,0.002577305769966866,"[1.9905825431863504, 1.0156840974366164, 2.0111256356278355, 1.0052040940673916]"
16,0.0058826362512667055,0.002577306125653708,"[1.9905825438601361, 1.0156840964765717, 2.0111256438822744, 1.0052040870596075]"
