iteration,value,g_norm,p
0,11.717111775721166,0.25828000976776905,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,11.695207117893402,0.26902022782703927,"[0.06296920488081911, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,11.671969725244752,0.27857867262539554,"[0.13050117145737267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,11.636554375998175,0.288934452706701,"[0.2032256681754477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,11.59467367937821,0.3017917648028886,"[0.28285606089297427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,11.541568604420727,0.3216328644335811,"[0.3719839402629101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,11.475100247589792,0.3443357708713728,"[0.47469139198021315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,11.378562276412286,0.37391220321524626,"[0.5978729234521959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,11.24307797629033,0.4060608599675357,"[0.7472124925550092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,11.049222589254846,0.4479913986436854,"[0.9302262454593144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,10.764387956872001,0.48868758969654247,"[1.1580700823358923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,10.36499710155351,0.5291371194128595,"[1.4380664790939586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,9.825428166310706,0.5669164350163852,"[1.776925361670192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,9.132588348891472,0.5873926861912058,"[2.1762747126515762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,8.304015739933776,0.5917156384908638,"[2.6297570238798507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,7.386037533764066,0.5801786494969903,"[3.1237178214640835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,6.431873716867816,0.557053672649168,"[3.6423136081139798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,2.73032296509372,0.4223354576706107,"[13.92772208587252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,0.276978132001418,0.11833359916658995,"[8.82865219083664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,0.04112277229900095,0.009985655227201445,"[9.890822234902686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,0.037694130262185974,0.0008066734844037781,"[9.995012626710075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
