iteration,value,g_norm,p
0,1.3609702873568663,0.36817435570347123,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,1.1729943809148515,0.4462872479212048,"[-0.0003269741180403151, 0.3623195176008365, -0.00041189213989978167, 0.004734730271734134, 0.00046518244377592906, 0.3708844249678232, -0.0002688073066788461, -0.004276867010980699]"
2,0.8583414409734931,0.43182257341567254,"[-0.000826003194876132, 0.801787081228648, -0.0009042252072990512, 0.010470989972103006, 0.0004754769944161218, 0.8207446100496366, -0.00027491861632094727, -0.009465922762422328]"
3,0.04094922663275624,0.14943301855514832,"[-0.004844545488785564, 3.4035040326306563, -0.0025196059573427045, 0.04324891785078697, 0.015806777512667774, 3.484704531876459, -0.009106762390179107, -0.04045281248139404]"
4,0.013008698032570164,0.0299149540365986,"[-0.0037336664850012003, 2.7361796529795575, -0.002170126477987202, 0.03490052590638752, 0.009431854259001664, 2.8013795082255877, -0.005431545505089565, -0.032491496774429425]"
5,0.005422829213603194,0.0010386103800741203,"[-0.003896377369611185, 2.846877577291944, -0.002258508045106334, 0.03631304870858252, 0.008672218860090918, 2.9147148718259386, -0.004992346479875158, -0.03380591057664262]"
6,0.005288482511370906,0.0002196350702038767,"[-0.0038772827129439228, 2.849817564552698, -0.002289846085241032, 0.036376940943927925, 0.007113873871507762, 2.917708885569313, -0.004092913538853636, -0.033834876857312735]"
7,0.005283715450093686,0.00019961427189168351,"[-0.0038530667731156054, 2.8499148944264068, -0.0023202812649136383, 0.03640580354470156, 0.00572707082735432, 2.9177917581062425, -0.003292601450041848, -0.03382980926928201]"
8,0.005283715450018031,0.00019961426884117922,"[-0.003853066770662492, 2.8499148954841456, -0.0023202812679723804, 0.03640580248794191, 0.005727070732131817, 2.9177917570427927, -0.0032926013949936533, -0.033829808208866455]"
9,0.0025844372779419296,0.00019961421271690385,"[-0.003853066705138663, 2.8499148956514313, -0.002320281349077387, 0.03640580234674372, 0.005727069160868676, 2.917791756735084, -0.0032926004896478493, -0.03382980797711683]"
